news_site_title	district
Judiciária sem pistas de mulher assassinada em Leça da Palmeira	PORTO
Julgamento de homem que matou sogra arranca no dia 16	BRAGA
Justiça falha proteção a mulher assassinada	LEIRIA
Lentidão e burocracia. Ministério Público falhou e mulher foi assassinada	LISBOA
Loulé: Homem mata a mulher e suicida-se de seguida	FARO
Mais uma mulher assassinada depois de anos de violência doméstica em Lisboa	LISBOA
Marido assassina mulher a tiro em Sacavém e lança-lhe granada de seguida	VISEU
Marido assassina mulher com caçadeira em Ourém	SANTARÉM
Marido mata a mulher a tiro e está em fuga na Figueira da Foz	COIMBRA
Marido mata a mulher em Vieira do Minho e entrega-se às autoridades	BRAGA
Marido mata mulher e suicida-se na véspera de férias no Algarve	FARO
Marido que assassinou mulher na rua Augusta julgado em Janeiro	LISBOA
Mata a mãe por trocar versos do pai-nosso	SETÚBAL
Mata a mulher a tiro por ciúmes	BRAGANÇA
Mata amiga da mulher durante uma discussão	PORTO
Mata companheira antes de ser internado	SANTARÉM
Mata ex-sogra à “cacetadinha”	BRAGA
Mata mãe à pancada no Natal e desaparece	LISBOA
Mata mãe e fica 15 dias junto do corpo	LISBOA
Mata mãe por impedi-lo de se juntar ao Daesh	SANTARÉM
Mata mulher à facada em jardim público	ÉVORA
Mata mulher à frente da filha e assassina GNR	COIMBRA
Mata mulher à machadada	SANTARÉM
Mata mulher após seis meses de perseguição	BRAGA
Mata mulher com 20 facadas após a encontrar no carro com amante	VISEU
Mata mulher e barrica-se em apartamento	SANTARÉM
Mata mulher em França e conduz até Sacavém	SANTARÉM
Mata mulher no trabalho e suicida-se	SANTARÉM
Mata mulher por acidente em discussão e suicida-se	SANTARÉM
Mata namorada e esconde corpo durante 24 horas	SANTARÉM
Matou a mãe a tiro de caçadeira	FARO
Matou a mãe após discussão	PORTO
Matou a mãe e chamou a polícia	LISBOA
Matou a mulher à facada e agora não se lembra	FARO
Matou a mulher com líquido tóxico	PORTO
Matou a mulher grávida de quatro meses e quis suicidar-se	SETÚBAL
Matou a mulher, deixou carta escrita à filha e foi condenado a internamento	AVEIRO
Matou a namorada e escondeu o corpo numa mata	VIANA DO CASTELO
Matou a sogra porque a confundiu com amante da ex-companheira	BRAGA
Matou e enterrou a ex-namorada	LISBOA
Matou mulher e tentou suicidar-se de seguida. Está em coma	AVEIRO
Matou mulher na noite de Sto António e inventou doença	SANTARÉM
